YEAR,MONTH,DAY,WindSpeed
2023,1,1,7.92
2023,1,1,8.17
2023,1,1,6.42
2023,1,1,5.88
2023,1,1,8.99
2023,1,1,8.57
2023,1,1,8.58
2023,1,1,8.49
2023,1,1,8.83
2023,1,1,7.74
2023,1,1,8
2023,1,1,8.56
2023,1,1,9.81
2023,1,1,8.9
2023,1,1,8.03
2023,1,1,8.17
2023,1,1,10
2023,1,1,9.47
2023,1,1,9.12
2023,1,1,8.73
2023,1,2,7.09
2023,1,2,8.08
2023,1,2,6.41
2023,1,2,5.03
2023,1,2,7.2
2023,1,2,7.92
2023,1,2,8.53
2023,1,2,7.67
2023,1,2,6.34
2023,1,2,6.46
2023,1,2,6.91
2023,1,2,7.06
2023,1,2,7.89
2023,1,2,7.24
2023,1,2,6.65
2023,1,2,6.79
2023,1,2,8.24
2023,1,2,7.68
2023,1,2,7.62
2023,1,2,7.2
2023,1,3,4.72
2023,1,3,4.97
2023,1,3,4.15
2023,1,3,4.22
2023,1,3,5.61
2023,1,3,5.61
2023,1,3,5.59
2023,1,3,5.73
2023,1,3,6.08
2023,1,3,5.46
2023,1,3,5.61
2023,1,3,5.77
2023,1,3,6.09
2023,1,3,5.37
2023,1,3,5.48
2023,1,3,5.62
2023,1,3,6.59
2023,1,3,6.36
2023,1,3,6.13
2023,1,3,6.01
2023,1,4,10.57
2023,1,4,11.08
2023,1,4,9.35
2023,1,4,9.4
2023,1,4,12.3
2023,1,4,12.35
2023,1,4,12.29
2023,1,4,12.07
2023,1,4,12.32
2023,1,4,12.05
2023,1,4,11.94
2023,1,4,11.95
2023,1,4,12.53
2023,1,4,11.85
2023,1,4,11.6
2023,1,4,11.35
2023,1,4,11.92
2023,1,4,11.32
2023,1,4,10.82
2023,1,4,11.03
2023,1,5,9.86
2023,1,5,10.44
2023,1,5,9.12
2023,1,5,9.32
2023,1,5,10.7
2023,1,5,11.17
2023,1,5,11.15
2023,1,5,11.55
2023,1,5,10.57
2023,1,5,10.5
2023,1,5,10.29
2023,1,5,10.58
2023,1,5,11.15
2023,1,5,10.59
2023,1,5,10.63
2023,1,5,11.14
2023,1,5,11.5
2023,1,5,11.18
2023,1,5,11
2023,1,5,11.21
2023,1,6,7.19
2023,1,6,7.63
2023,1,6,6.41
2023,1,6,6.35
2023,1,6,8.33
2023,1,6,8.41
2023,1,6,8.41
2023,1,6,8.04
2023,1,6,8.21
2023,1,6,7.88
2023,1,6,7.68
2023,1,6,7.97
